epsilon; h; error; last_iteration
1e-08; 0.0196078; 0.000620733; 2720
1e-08; 0.0163934; 0.000435168; 3756
1e-08; 0.0140845; 0.000321905; 4934
1e-08; 0.0123457; 0.000247731; 6247
1e-08; 0.010989; 0.000196527; 7689
1e-08; 0.00990099; 0.000159702; 9256
1e-08; 0.00900901; 0.000132336; 10944
1e-08; 0.00826446; 0.000111445; 12748
1e-08; 0.00763359; 9.51378e-05; 14666
1e-08; 0.0070922; 8.21645e-05; 16695
1e-08; 0.00662252; 7.16746e-05; 18830
1e-08; 0.00621118; 6.30726e-05; 21070
1e-08; 0.00584795; 5.59311e-05; 23411
1e-08; 0.00552486; 4.99373e-05; 25852
1e-08; 0.0052356; 4.48577e-05; 28390
1e-08; 0.00497512; 4.05156e-05; 31022
