epsilon; h; error; last_iteration
1e-08; 0.0196078; 0.000620728; 2422
1e-08; 0.0163934; 0.000435164; 3467
1e-08; 0.0140845; 0.0003219; 4699
1e-08; 0.0123457; 0.000247726; 6117
1e-08; 0.010989; 0.000196522; 7722
1e-08; 0.00990099; 0.000159697; 9514
1e-08; 0.00900901; 0.000132331; 11492
1e-08; 0.00826446; 0.00011144; 13657
1e-08; 0.00763359; 9.51329e-05; 16009
1e-08; 0.0070922; 8.21595e-05; 18547
1e-08; 0.00662252; 7.16697e-05; 21272
1e-08; 0.00621118; 6.30676e-05; 24184
1e-08; 0.00584795; 5.59261e-05; 27282
1e-08; 0.00552486; 4.99323e-05; 30567
1e-08; 0.0052356; 4.48528e-05; 34039
1e-08; 0.00497512; 4.05106e-05; 37697
